date,ABB.ST,ALFA.ST,ALIV-SDB.ST,ASSA-B.ST,ATCO-A.ST,ATCO-B.ST,AZN.ST,BOL.ST,ELUX-B.ST,ERIC-B.ST,ESSITY-B.ST,EVO.ST,GETI-B.ST,HEXA-B.ST,HM-B.ST,INVE-B.ST,KINV-B.ST,NDA-SE.ST,NIBE-B.ST,SAND.ST,SBB-B.ST,SCA-B.ST,SEB-A.ST,SHB-A.ST,SINCH.ST,SKF-B.ST,SWED-A.ST,TEL2-B.ST,TELIA.ST,VOLV-B.ST
2018-01-01,218.104935,181.259232,1057.50769,156.922195,53.953156,47.570904,571.805908,219.785172,185.401505,49.023167,199.153961,115.889259,109.565292,59.962379,131.554581,86.688698,243.272583,96.035103,19.613102,134.109833,5.43418,80.46656,69.120773,88.064041,7.4,154.499954,133.118591,70.712044,27.335707,122.582703
2018-01-08,220.839767,186.834366,1082.651245,160.280289,55.225231,48.719818,568.550964,224.384445,186.735306,49.924778,198.398331,124.32299,108.092766,63.790958,129.503342,87.199936,240.927811,97.42276,19.622728,136.955658,5.41725,81.293388,70.888611,89.799095,7.27,154.950882,135.980621,66.020706,27.43034,121.393707
2018-01-15,219.863037,189.735245,1084.623169,162.276993,55.678497,49.068859,561.054321,218.578812,181.751007,51.763371,196.887039,127.299583,106.344124,66.549789,127.435951,87.377762,244.193741,95.9394,19.232779,141.53569,5.798152,82.646408,69.87542,89.066521,7.01,163.477264,133.384811,65.268456,27.09547,126.801765
2018-01-22,218.49559,186.834366,1065.888672,160.280289,53.675354,47.221867,567.465881,215.487473,184.559082,47.767975,201.924667,124.719856,106.942352,65.761559,126.386093,86.088554,244.193741,93.652168,18.972811,139.623642,5.840474,81.669228,69.94529,89.220749,7,162.73941,133.983871,67.456833,28.049124,124.730583
2018-01-29,212.928223,187.196976,1133.924194,159.962631,52.271694,46.218376,560.955688,211.491379,195.299896,47.555824,196.047424,118.072113,99.119545,65.339287,114.853867,84.732658,247.459717,92.790871,18.221794,133.309433,5.51036,75.937729,69.94529,88.950851,6.77,148.597076,133.850739,66.868713,28.616955,121.125214
2018-02-05,190.463318,175.41217,1099.413208,151.476654,49.054977,43.106129,532.153381,203.951584,184.067703,45.770279,188.071198,118.171333,92.539192,66.620171,112.205009,78.086517,227.11026,88.618347,17.316723,128.240326,5.383393,71.408897,65.654953,83.899895,6.33,137.734116,130.389664,63.599819,26.251015,114.182968
2018-02-12,197.886505,179.446198,1146.249146,161.097107,50.999626,45.069473,530.47644,217.523193,188.349915,47.803337,189.330612,115.095505,94.701965,68.576691,113.674774,81.131744,240.006622,90.398361,18.510647,131.753113,5.451109,74.396805,67.960838,89.606323,6.4,141.09549,137.378372,65.897621,27.459463,118.900604
2018-02-19,198.86322,181.48587,1176.815918,166.361145,51.613728,45.694832,543.638916,218.95578,193.053421,49.447456,190.002304,113.30954,95.622292,69.111572,111.849663,81.75412,249.720795,90.053848,18.996881,134.598984,5.518825,78.343079,68.100594,89.066521,6.23,143.432022,138.37677,67.812447,28.202003,121.010147
2018-02-26,192.026093,171.15152,1169.034912,162.186218,48.981869,43.338825,542.847961,212.848511,179.644974,47.538155,183.78923,109.936035,93.919678,65.958626,106.535797,80.198166,243.021378,88.580063,18.101439,128.684967,5.891261,74.922974,66.605255,85.943413,6.12,135.397552,135.51474,64.625618,28.340321,114.873352
2018-03-05,196.90976,178.766281,1224.773682,168.993149,52.066998,46.218376,548.582947,217.4478,189.894379,50.331394,194.704056,114.103294,102.064606,70.026497,109.992241,83.376747,252.568024,92.542061,18.655073,133.887497,6.018228,80.654472,68.519844,89.452087,6.28,139.824722,140.10733,68.557861,29.010057,117.366425
2018-03-12,194.077225,177.497162,1205.043213,164.500595,52.798061,46.960087,556.295593,223.479691,191.017609,49.306026,189.162674,110.432152,98.613358,68.914505,106.018944,84.621521,256.168976,85.23056,18.857269,135.621689,6.119802,81.706818,68.85524,88.680954,6.09,142.694183,140.173874,67.662003,28.879026,116.791084
2018-03-19,188.119141,175.049576,1194.684814,158.102066,50.999626,45.243996,560.942871,215.487473,187.296936,47.679585,184.964661,109.63839,85.774757,67.605461,104.37149,80.66494,243.105087,84.482155,18.49139,132.375671,5.98437,80.80481,64.830421,77.653664,6.02,141.915329,123.434196,66.5131,28.29664,113.645988
2018-03-26,193.002838,178.720978,1186.79248,163.683762,52.812691,47.192783,578.741211,220.539154,184.278259,46.777962,193.612579,90.766701,87.376122,69.815338,101.09272,82.065308,251.563141,85.869942,19.020954,135.577225,6.043621,83.548409,61.099079,81.831757,5.86,139.783737,133.176834,68.489479,28.544155,116.791084
2018-04-02,184.016861,178.539673,1218.854858,161.823181,50.473251,45.185814,589.420105,216.995422,179.083389,47.571171,191.093781,89.655426,88.425308,68.478157,101.964905,82.309814,255.080307,82.920868,19.083536,134.465546,6.221374,85.318405,63.781406,79.240158,6.21,144.423798,132.108551,69.002388,29.090143,110.769356
2018-04-09,189.853546,183.208282,1249.43689,160.7341,52.154713,46.567421,605.636292,221.443909,181.773056,47.733288,184.20903,91.997032,89.290421,69.744972,109.184654,82.865501,258.932465,82.439011,19.34832,140.157242,6.085945,88.015083,62.529324,77.02552,6.17,150.47496,129.081802,71.669472,27.466745,122.361771
2018-04-16,201.425186,189.463272,1252.396606,162.458527,52.885792,47.55637,591.101074,231.622681,183.12851,58.793003,187.256973,113.210312,87.965149,72.151917,106.971901,85.021622,260.439819,85.426628,20.946638,143.091965,6.966246,89.870255,63.826115,78.376289,6.74,154.748856,132.286591,71.840431,30.965155,127.098358
2018-04-23,198.483246,197.621979,1185.805786,166.678787,50.049221,45.403961,608.899353,236.82515,166.791718,59.171261,192.168915,108.943855,77.454979,72.236359,119.990059,85.243889,267.306732,87.450485,21.384729,136.422089,6.966246,93.274567,64.40744,77.983635,6.59,153.564011,137.164993,78.781708,32.442535,119.79612
2018-04-30,202.503922,207.018982,1214.415405,173.448486,51.899189,47.181488,622.643555,236.598907,166.577728,61.368797,195.098831,104.842766,79.086281,69.80127,116.87281,85.466179,260.60733,84.964035,21.923925,134.554489,7.194788,93.867455,62.559135,77.559555,6.35,152.336853,134.031418,77.858475,32.210056,120.1119
2018-05-07,202.994232,210.068817,1210.962158,176.867538,52.67963,47.840534,615.524231,249.640045,162.226028,61.494896,197.339371,105.439041,79.741425,66.803154,112.124245,84.732658,268.730347,87.970909,22.573841,143.47525,7.608889,95.913879,63.453476,78.572632,7.36,155.552841,138.874207,78.71331,32.652527,123.901161
2018-05-14,209.074249,214.874603,1274.100464,177.791626,56.456215,51.506962,617.897461,249.098053,163.010727,60.936508,204.578018,107.02906,79.516815,67.860985,120.747009,86.648949,270.823944,85.368797,22.318691,148.253204,7.754554,97.443909,62.4548,78.203514,6.83,160.165268,137.984009,77.619141,32.607529,127.177307
2018-05-21,202.503922,206.18721,1273.606812,176.636536,55.242027,50.058136,638.266541,245.938828,160.371185,58.77499,200.786362,106.830307,78.318817,68.086426,116.789467,84.561577,256.168976,83.942451,22.316862,143.975815,7.557477,94.460342,61.784039,76.868454,6.31,153.225479,132.535858,75.225594,31.542614,126.387886
2018-05-28,200.738724,207.388657,1306.7771,177.375778,54.855335,49.926426,640.343018,249.328918,158.159683,57.802311,193.289185,109.513481,83.185654,70.481857,110.627693,84.516205,267.167023,82.785965,22.287647,141.655075,7.291851,95.674812,60.084793,77.481018,7.14,147.639786,132.179779,78.36216,31.317627,121.927582
2018-06-04,196.718094,207.111404,1365.503296,174.649796,54.692921,49.500294,626.40094,247.594467,153.950638,57.117828,186.998444,112.296051,77.102112,74.060913,112.381042,83.06411,262.259338,81.475258,22.219473,140.927032,7.608889,96.152939,59.81649,76.412956,7.57,144.889267,133.141205,78.539368,31.745094,117.546242
2018-06-11,197.69873,206.279617,1364.516113,174.834579,56.483196,51.920509,630.652771,240.380692,153.023209,61.296749,185.964355,109.215355,79.479362,72.229111,111.896797,84.334694,274.141113,81.051216,22.62364,141.109039,7.608889,94.76635,61.605175,75.941757,7.41,143.873688,133.889008,80.630447,31.827587,116.480522
2018-06-18,192.893555,198.608826,1340.334839,172.663025,53.769318,49.684696,621.852661,232.023727,148.386139,61.783092,187.429321,108.817848,76.016426,71.017303,115.420166,81.339752,264.842346,81.841484,22.521381,139.06134,7.634595,91.974045,60.964226,76.177345,7.49,139.896011,134.031418,79.319092,31.115143,112.099167
2018-06-25,191.912903,196.4832,909.808899,176.405518,53.017147,48.577141,622.742493,229.106689,145.532578,62.377502,190.617752,110.706024,76.278488,70.383224,111.462624,82.79184,264.239655,83.152176,23.407627,144.703873,7.668869,93.064186,63.46838,78.18782,7.64,141.080841,136.595276,74.640755,30.717672,113.046501
2018-07-02,183.332214,188.997238,895.004211,160.788696,48.961582,44.654125,602.966553,225.874268,138.505646,60.846428,188.721924,110.90477,77.495201,67.212814,116.522278,81.135559,263.378662,82.593193,21.990608,136.968124,7.72885,90.730888,63.393848,77.748032,8.5,136.933914,137.27182,74.605316,31.242638,112.178116
2018-07-09,188.578705,196.668015,932.509766,166.333115,50.659023,46.662205,648.352295,217.517334,141.430557,62.125332,189.411331,116.867386,79.217316,70.228218,115.837646,82.179245,268.802917,83.614777,23.100849,139.197861,8.542864,92.375679,63.304417,77.606667,8.54,141.123169,137.877182,72.407906,31.062645,116.480522
2018-07-16,195.149048,221.159119,920.665955,160.834885,49.69342,45.875538,651.813049,204.429993,148.1008,65.835915,198.545822,137.537796,86.367836,70.904572,115.787529,85.718712,271.902496,87.720337,23.358934,140.562973,8.380061,85.643532,67.209702,80.535957,9.4,142.646545,139.728851,85.450546,29.29278,116.954178
2018-07-23,198.287094,224.486176,892.832703,161.712738,51.289215,48.235558,667.040344,205.178986,146.388641,63.620373,189.497498,141.314133,88.44561,71.524567,115.770844,86.830467,261.656677,90.226082,24.191614,145.204422,8.354354,88.11071,69.788391,84.61969,10.86,151.321274,147.7052,85.769524,31.707596,121.138153
2018-07-30,197.69873,225.04071,861.249023,161.758957,50.130489,47.262569,679.795898,203.207993,147.672775,63.656384,198.718201,134.357758,92.245491,75.329063,111.178757,87.261559,264.842346,89.474365,24.206223,143.839279,8.380061,87.403069,69.922531,85.247963,10.28,150.390305,145.639893,83.359474,32.367542,118.454086
2018-08-06,202.798096,224.855881,856.906311,164.531189,50.445572,47.014141,713.711548,205.376068,145.603928,64.21479,195.098831,132.867081,91.721367,75.244522,108.891045,89.598518,264.591675,89.262344,25.029167,146.114502,8.525727,88.780098,70.459145,85.287224,10.3,150.855789,145.497437,81.020302,31.782593,118.138298
2018-08-13,202.798096,220.327332,832.033997,168.966736,50.740341,47.573097,695.803772,198.438232,145.817932,64.77317,202.768372,136.842178,91.983429,74.596352,107.788963,91.459007,256.612244,90.361015,24.303612,142.337631,8.654254,93.236313,71.383293,86.700829,10.04,146.412643,148.773468,81.055756,31.692595,117.309425
2018-08-20,210.643295,220.881836,805.385193,165.686264,51.543324,47.500641,691.646729,202.498444,142.464951,70.429108,205.353592,138.134094,101.73584,75.159981,109.058029,92.706902,268.581451,92.924568,24.907431,142.246643,8.397198,95.340111,72.665184,87.289833,10.58,146.201065,149.058334,81.055756,31.79759,122.756493
2018-08-27,211.722,226.519424,803.991516,172.247177,52.996819,50.057331,692.042725,188.741028,145.532578,69.474457,204.233307,139.227234,102.016624,76.540871,102.879585,93.637138,272.389832,95.2183,25.625679,145.659454,8.328648,101.79493,72.739716,87.05423,10.6,148.740005,151.550964,79.957047,30.4177,124.335358
2018-09-03,207.112946,216.445724,768.434265,168.597107,50.181301,47.086601,666.605652,178.413086,135.937454,70.717316,202.509827,130.48204,99.396011,74.258171,101.259827,92.026237,259.423187,93.27153,25.443073,137.696213,8.388629,98.687057,72.516129,85.169426,10.3,142.054092,150.838776,81.906342,30.020226,120.388206
2018-09-10,213.094925,220.050079,785.22522,171.831345,51.035103,47.914677,669.377136,180.62059,138.362961,70.447128,204.491867,134.059601,101.689056,73.356361,102.829498,93.047226,263.866272,93.560669,26.550882,142.246643,8.568568,98.639244,72.545937,84.227028,10.2,145.227798,152.120682,80.098801,30.747673,122.164421
2018-09-17,210.545227,229.291992,812.090637,167.118591,52.763046,49.715748,654.926575,193.313675,138.43428,69.906754,203.113052,129.190125,102.3442,74.089088,121.06427,95.270752,248.270065,93.425743,26.234365,146.023483,9.682483,96.58326,73.335945,86.700829,10.14,152.802322,153.82988,79.779839,30.927658,126.506279
2018-09-24,207.211029,222.730225,766.26123,165.085602,52.082031,49.094688,694.912964,195.442337,139.825424,71.041534,192.513611,125.91069,95.83947,73.412743,137.128265,93.183365,244.008316,93.348625,25.930023,143.566269,10.196598,96.296379,73.961967,88.153694,10.74,148.401474,156.892273,75.845772,30.612679,124.019569
2018-10-01,202.405853,227.166351,731.889038,168.319885,51.02494,47.58345,703.22699,195.324081,139.040665,70.969498,195.01265,124.320663,91.683922,72.370018,141.0858,92.843025,241.741425,88.491333,25.52829,138.879303,10.11091,95.187111,71.815552,86.190361,10.48,141.37706,142.506332,75.987549,30.740171,122.677521
2018-10-08,186.813522,204.338821,707.393982,156.306915,46.674614,43.784637,658.687683,189.805328,129.837891,66.520393,188.721924,116.56926,86.124481,65.395111,133.554764,86.376701,224.966431,83.566597,22.828159,128.731827,10.025226,85.069771,68.476685,82.3815,10.4,131.940643,137.805954,75.278709,30.200209,113.322792
2018-10-15,186.12706,206.741699,702.257996,161.758957,43.300053,41.109947,700.851624,185.784561,130.366577,76.499352,187.343124,116.469879,80.246834,64.662384,136.510406,88.032967,229.409531,81.137947,22.677204,124.044907,10.350829,84.438629,68.536308,81.67469,10.48,125.043167,138.411316,79.141876,30.222706,105.665321
2018-10-22,174.55545,208.867355,717.271118,161.112122,42.486904,40.161793,673.831116,154.382889,125.519325,70.879425,184.757919,130.879562,79.77887,61.280605,130.46553,85.627937,222.971558,75.297623,22.453209,123.180321,9.476837,79.408653,69.147438,78.18782,9.96,116.241478,144.57164,73.293953,30.519186,103.81015
2018-10-29,184.361908,214.967026,780.286743,163.32988,47.01004,44.654125,687.291748,172.69722,146.22052,72.950882,181.65564,134.457123,81.257652,68.466881,133.872025,90.211105,228.774796,76.984192,23.207979,132.69072,9.956678,83.061607,70.787071,78.486244,10.6,129.105484,146.209625,73.081306,31.953396,111.03344
2018-11-05,178.919312,202.213165,732.87677,163.791916,44.29615,42.035324,730.24762,158.466751,141.008743,73.707397,183.206772,124.618797,80.827118,64.563744,132.786636,89.167419,217.984375,77.774467,22.91094,126.183594,9.751033,78.892265,70.846687,79.043823,10.18,120.303787,148.203735,72.86866,32.454586,106.731033
2018-11-12,176.908966,186.317093,747.692383,163.65332,42.832489,40.377094,721.933594,160.161804,137.437057,69.312332,193.720062,117.761787,75.379997,61.181976,133.037094,88.13385,219.07251,79.393562,23.373543,123.134811,9.425426,74.58905,69.862907,76.695679,9.97,118.103386,146.993011,75.349594,31.868576,101.283974
2018-11-19,177.693481,177.999359,786.015259,154.551208,42.598713,40.368816,725.397705,156.30658,143.960892,68.42971,190.962463,113.88607,85.69397,62.619225,143.525665,85.887527,207.103302,77.976852,22.161039,119.039406,8.722805,71.184738,67.507828,75.093605,9.82,117.891792,144.927734,73.754707,31.220867,97.455231
2018-11-26,181.125763,180.956757,763.515991,156.353119,45.363407,42.594273,715.59906,160.753113,150.739792,68.375687,200.95871,108.122208,87.977638,63.873306,144.369629,91.388733,209.370193,77.861206,22.964502,122.861794,8.911312,70.018082,70.652916,78.729691,10.36,121.615585,150.625122,80.701324,32.377483,99.941933
2018-12-03,169.259933,176.751694,714.288635,149.607376,42.354774,40.381241,685.510132,152.821899,142.867493,71.329742,194.926498,104.64402,80.958145,58.758366,136.963394,86.735634,200.483978,75.432556,22.389904,114.989525,9.014132,66.307762,67.343857,76.507202,9.13,109.851791,146.921799,78.681145,32.138447,92.402885
2018-12-10,175.241867,179.801529,667.236206,150.762482,42.79184,40.687622,698.970947,158.979202,143.231949,74.031624,196.649963,102.656479,82.586662,58.532913,134.448746,88.959038,200.937363,75.943352,23.21772,116.855202,8.73994,69.138321,65.734039,80.810829,8.49,112.771584,145.995972,78.433037,33.526382,92.837059
